,total_amount
480128,0.89
542310,1.19
512683,1.19
76460,1.99
524701,0.8
546641,2.0
27398,1.79
60034,3.29
784056,1.39
613049,1.89
306790,2.89
316200,2.89
505524,0.8
640028,0.45
490228,2.69
16164,2.5
481157,0.89
181277,0.49
54854,2.99
433183,2.39
377386,1.99
450065,0.99
614560,0.79
262768,2.69
404218,3.19
77239,2.29
148104,1.59
186958,1.79
325129,2.0
124737,1.09
412035,0.99
313972,2.89
757736,0.74
639050,0.45
502727,0.99
33069,0.84
516704,0.8
232419,1.34
505881,1.19
754270,1.77
372588,2.39
693914,2.37
296826,0.99
407488,2.15
371178,3.09
283768,1.99
315237,2.99
551193,1.88
394450,2.15
199490,1.34
3796,2.0
652616,0.69
676502,1.34
341582,2.69
95296,0.83
323875,2.99
17777,1.25
655950,0.69
815492,1.29
491371,1.79
516466,1.19
283104,0.99
164436,2.99
276764,0.99
309591,2.89
642067,0.45
322587,3.69
738962,1.39
101055,0.99
712596,0.89
630837,3.49
400754,2.19
678306,0.79
344166,2.89
491705,1.99
351669,2.49
373230,2.49
99776,0.99
115758,0.54
18425,2.52
292870,3.98
225069,1.19
405651,1.95
510687,0.79
144331,2.29
288591,1.5
392904,2.19
758588,0.79
610596,2.79
441765,2.29
34443,3.42
53180,1.09
665581,1.29
802361,0.39
508112,0.59
739478,1.11
723456,0.79
671606,1.99
271918,0.99
240849,0.7
117848,1.09
652595,1.38
51697,0.99
60929,2.25
272816,0.99
203122,0.99
454430,1.19
539700,1.69
495777,1.19
75837,2.45
555672,1.5
685293,2.18
147338,2.29
355542,2.29
135348,1.89
321671,2.99
808719,0.99
739427,1.29
513886,0.99
471775,1.99
111017,1.19
237663,2.19
562675,2.5
651280,1.58
682781,0.67
284367,0.99
760685,1.09
529468,1.19
79391,0.99
321847,2.69
773129,0.69
333429,2.5
362860,3.09
148528,2.19
317773,2.99
612525,2.59
814871,1.29
653324,0.79
599403,1.25
255776,1.99
767020,0.69
161885,2.99
106819,0.59
469329,1.99
300173,1.99
126228,1.79
688711,1.58
292319,1.34
333949,2.69
50426,1.2
731820,1.19
170567,3.19
275933,1.79
502646,0.99
329206,2.0
809768,1.69
708959,0.99
304911,1.99
328003,2.89
805890,3.5
202205,0.99
693636,2.18
416760,1.95
25973,0.69
470174,1.79
467777,3.78
704631,0.75
586063,1.5
586998,2.39
581346,1.5
386796,1.39
42767,0.84
529118,0.99
352320,1.89
52549,0.99
589807,2.0
734184,1.29
428046,2.99
684832,0.85
361280,2.45
754460,1.77
193646,1.29
152514,2.29
346768,3.29
280048,2.69
532387,0.99
54988,2.99
184187,0.99
115142,1.09
34133,0.8
265803,3.59
179490,1.5
720518,0.88
576259,1.79
114796,1.09
282904,0.99
618604,0.79
448589,1.29
393401,1.5
56814,3.59
82600,0.99
476136,1.89
378731,1.5
612679,2.5
181341,0.49
328241,2.69
140848,2.19
60922,1.99
433079,2.59
269349,1.5
763260,0.79
10325,2.5
715875,0.88
497279,1.79
679364,0.67
127646,1.79
81003,0.83
185264,1.15
591608,1.39
441365,1.35
12780,2.49
144022,2.29
792230,1.09
477029,1.89
724523,0.99
637788,0.45
613678,1.89
471090,1.29
684794,1.7
636219,0.99
557912,1.09
367874,2.99
65172,2.25
742755,1.59
80221,1.29
488375,2.0
516790,0.19
42169,1.19
286253,2.19
419116,1.95
186905,1.2
431426,2.49
149323,2.19
465417,0.8
266271,1.5
736963,1.59
135724,1.89
641569,0.45
753058,1.99
323977,2.99
608381,1.59
409723,2.5
735538,1.29
732594,1.39
83349,0.99
463205,0.79
449505,1.59
47398,1.29
801689,0.39
660847,0.85
748057,0.88
421020,1.5
630200,0.79
4705,2.0
592396,1.25
239254,2.68
660607,0.85
802608,0.39
710693,0.75
475719,1.89
302635,2.99
535188,0.99
431234,2.49
677683,0.79
88585,1.29
387629,1.99
224412,0.99
529084,0.99
631843,3.49
605708,1.65
72599,2.19
345247,2.69
404050,3.19
181495,0.49
228073,1.99
770549,0.67
12852,2.49
672505,3.38
639595,0.45
271255,1.99
475084,1.89
715158,0.95
557608,1.25
20410,0.8
397936,1.5
321231,3.39
275165,3.98
344925,2.0
338263,2.69
301577,2.99
420650,0.5
366182,1.79
691202,0.85
63347,2.19
162783,3.19
420867,1.5
761706,0.85
219907,1.99
3012,2.0
616030,0.95
59767,3.29
611694,2.5
54684,2.99
648801,1.99
276741,0.99
559448,1.0
226604,1.5
613672,1.89
441896,1.19
807222,0.99
633954,2.79
24960,0.5
91234,1.98
475376,1.89
350443,2.29
600736,1.59
604936,1.39
758368,0.79
551567,0.79
724986,1.19
538190,1.99
350027,2.29
625461,0.99
765598,0.79
213385,1.99
439096,1.99
573078,1.69
91370,0.99
565814,1.79
697848,0.99
793783,0.99
356287,3.49
341625,2.89
794333,1.19
675299,0.79
273685,1.5
770883,1.09
736323,1.59
334736,2.0
85176,0.99
162778,3.19
671200,2.29
139648,1.89
218007,1.99
124938,1.09
466222,0.84
503444,1.19
124240,0.99
719572,0.88
136371,1.99
46022,1.25
213577,1.99
670742,1.77
199020,1.5
679115,0.67
72591,2.19
816446,1.29
72806,2.49
614153,0.79
332486,2.0
640748,0.45
792508,0.89
340941,2.5
788325,0.89
148775,2.19
387993,1.99
489063,2.69
651439,0.79
58705,3.59
111483,1.19
101927,0.89
153811,2.15
594534,1.25
133229,0.59
289109,1.99
417330,2.19
7881,2.0
554256,1.5
635337,0.67
190031,1.94
807258,0.99
432314,2.59
280717,3.59
156266,2.39
373752,2.39
453785,0.99
205023,1.98
144145,2.29
119976,1.09
396139,1.99
476811,1.89
307314,2.89
270560,1.99
6144,2.5
169028,3.19
215069,2.19
330025,2.89
605216,1.65
424021,2.75
457958,0.8
68561,1.75
425021,1.99
437454,1.99
49330,1.79
400687,2.19
551104,1.89
786631,0.88
391172,2.25
704985,0.75
682093,1.34
613313,1.88
513781,0.99
399807,1.19
13767,0.69
54745,2.99
136397,1.89
534112,0.99
27743,1.89
773045,0.69
752921,1.99
587852,2.0
280824,2.69
578875,3.0
104638,0.59
567336,1.5
777978,0.95
357814,3.49
9469,2.0
172429,3.89
226382,1.5
808640,0.88
75402,2.19
184418,0.72
500727,1.89
386253,1.49
268186,1.99
273336,0.99
284066,0.99
81734,0.99
447790,0.64
509629,1.19
697177,1.19
722314,0.74
352210,1.14
48599,1.33
480948,0.79
216925,1.98
687370,0.79
75834,2.45
757329,3.98
383220,2.99
348319,2.0
588966,2.0
7346,2.0
163258,3.19
591396,1.39
361741,3.59
190441,0.97
158163,3.19
147181,2.29
122776,0.0
687980,1.38
340606,2.5
693751,1.09
183811,0.99
745946,0.74
762344,0.79
735771,1.29
157436,3.19
660994,0.85
61995,1.19
120339,0.89
90291,1.98
138881,1.89
612535,2.59
604572,1.0
386625,1.49
316131,2.89
409594,2.25
65712,2.25
412593,1.5
340284,2.89
299210,1.95
250259,0.99
500428,1.89
331691,2.0
438951,1.99
468164,1.99
256371,0.99
772434,0.89
645694,0.45
266871,1.99
708224,0.99
488544,3.49
582429,1.5
399220,2.19
281476,1.5
463886,0.53
452084,0.64
758689,0.65
641710,0.45
146002,2.29
711510,0.89
626412,0.79
383736,2.5
410642,2.5
216139,2.68
672562,1.69
386491,1.49
330492,2.0
548185,1.98
350543,1.99
185688,1.45
787369,1.09
44415,0.99
740551,1.29
66521,2.19
813467,1.69
500533,1.89
378094,2.15
521889,0.79
579660,1.5
333795,2.89
376556,1.5
177115,1.68
164636,3.65
796957,0.99
290984,0.99
128240,1.99
430670,2.0
795823,1.09
507328,1.19
207549,2.19
617234,0.79
622614,0.79
120421,0.89
117007,0.89
122586,0.54
225309,1.99
741389,2.58
139512,1.89
639299,0.45
306942,2.49
793636,0.99
189518,1.75
95842,0.99
159808,3.19
684822,1.09
410043,2.49
392207,1.5
150285,2.19
273084,0.99
220600,1.33
386972,1.49
748261,1.39
341141,2.89
416550,1.5
766729,0.79
281644,1.99
383486,2.99
125616,1.09
218349,0.99
629676,0.79
295907,1.5
585276,1.5
689559,1.58
795259,0.88
8195,2.0
688178,0.69
740525,1.29
766180,0.79
288353,1.99
785722,0.88
337868,2.69
452076,0.64
78827,1.98
591038,0.99
789807,1.09
547592,2.5
605043,1.39
390696,1.79
75773,2.0
32109,0.84
798487,1.79
329005,2.0
9759,2.29
600643,1.59
6992,2.0
191011,1.29
513864,1.98
15491,0.8
758355,0.79
186104,1.59
2757,2.0
425997,1.5
486862,3.49
158394,3.19
405476,1.95
52495,0.99
660520,0.85
728977,0.88
119414,1.09
624465,0.99
99742,0.99
471091,1.29
644104,0.45
95189,0.83
554398,3.0
509777,1.19
105949,0.98
719539,0.99
130851,0.99
57,2.79
226565,1.5
212757,1.79
310824,2.99
292656,1.99
155498,1.29
218271,0.99
247986,2.19
751385,1.69
256202,0.99
483866,1.79
617168,0.79
650005,0.79
265961,3.59
605849,1.99
62714,3.0
598252,1.19
161401,3.19
551974,1.5
127233,1.79
458916,1.29
201260,1.99
518071,0.79
300106,2.99
447051,0.99
283640,1.5
646128,0.45
58088,3.59
432510,2.39
726658,0.79
316787,2.49
313929,2.89
264267,2.69
328338,2.69
640991,0.45
605640,1.99
547174,2.0
477091,1.89
428561,2.99
356870,3.49
648212,0.45
571099,1.49
105776,0.59
267454,0.99
454500,2.38
241449,1.98
60166,3.59
340827,2.5
341157,2.89
229164,1.99
681960,0.67
512751,1.19
584504,1.5
664636,1.29
704575,0.75
71404,2.79
21693,2.35
599323,1.25
532894,1.39
758232,0.79
423589,1.59
215876,1.33
765170,0.69
620032,0.79
444330,1.29
333139,2.0
615985,0.95
153229,2.29
810357,1.29
283154,0.39
46476,1.25
359602,3.49
621259,0.99
817457,1.77
771943,0.89
11469,2.79
466398,1.69
25597,0.75
404800,1.99
690017,0.67
450503,0.64
439101,1.99
48623,1.99
39876,0.84
534692,0.59
645936,0.45
705605,0.67
770960,1.09
276433,0.99
622265,0.99
508891,0.99
571389,1.19
255719,1.99
714708,0.79
206766,3.0
347038,2.0
222635,2.69
615278,0.79
632473,3.49
309877,2.89
953,2.0
105603,0.59
162315,3.19
285341,0.99
256162,1.98
143737,2.29
178434,0.99
707530,0.85
396456,1.99
183544,1.07
309168,2.99
80700,1.29
377362,3.98
472143,1.89
384890,3.19
476714,1.75
439441,2.55
407196,1.79
790652,0.99
217175,0.99
396397,1.99
363782,1.79
85772,1.98
308272,2.99
52796,0.99
196989,1.99
630363,0.99
53192,1.09
174405,2.79
510198,0.99
651446,0.79
257211,2.19
455493,0.99
775114,0.79
743226,0.99
135142,1.89
87912,0.99
435019,3.59
412027,1.99
605741,1.65
314852,2.89
406000,1.99
333017,2.0
54029,3.49
228798,1.5
296180,1.5
123399,0.69
59442,3.45
354628,2.45
236810,1.99
468729,1.99
124300,1.19
731057,1.19
214744,1.5
60961,2.25
649861,0.71
379999,1.5
168844,3.19
62284,3.7800000000000002
282500,1.99
747745,0.88
360974,2.45
513172,1.19
249715,0.99
513223,1.19
31743,1.19
313498,2.89
281746,1.99
60515,3.49
295308,1.98
457595,0.64
574132,1.5
110001,1.19
468256,1.99
375306,1.99
136038,3.98
339153,2.5
455841,0.86
517901,1.19
118765,1.09
283988,0.99
485030,2.99
312240,2.89
513867,0.99
454011,1.29
402267,2.5
504728,0.99
460138,1.19
293130,1.99
737604,0.99
54471,3.49
270547,1.99
195983,0.99
815243,1.29
308545,2.99
551142,2.29
625071,0.79
481420,0.79
673483,3.98
384927,3.19
74538,2.0
492981,1.79
763127,0.79
503134,0.99
744918,1.19
231514,1.5
180652,0.8
331896,2.5
438544,1.99
520597,0.99
449838,0.9
423880,2.29
164291,3.49
426954,1.49
300560,3.79
265765,3.59
371839,3.09
133193,1.19
590615,2.39
208613,1.33
584776,1.5
381234,2.19
113748,1.78
754081,1.77
400949,1.5
584453,1.5
273461,1.5
668452,0.99
265881,3.35
538488,1.69
438498,3.98
787047,1.19
248064,1.99
234387,2.19
240727,1.5
686589,0.79
500368,1.79
649278,0.71
649479,0.79
353033,1.69
244204,1.34
311899,2.89
310493,2.89
419936,2.19
364583,1.79
578619,1.5
56179,3.29
725706,0.74
604320,1.59
252664,2.19
666689,1.59
52622,0.99
729108,1.19
520693,1.98
140808,2.19
691955,1.34
787858,0.89
792109,1.19
561368,1.25
573152,1.69
739251,1.39
604306,1.59
483006,2.99
615868,0.95
761362,0.67
265864,3.35
629853,0.79
291381,1.5
51115,1.79
586958,2.39
295830,1.5
321457,2.99
780510,0.99
32518,1.25
772875,0.69
794655,1.19
630066,0.79
608098,1.09
774821,0.79
766551,0.79
349742,1.89
604742,1.39
777312,0.89
446804,0.99
757422,1.99
678260,0.79
165417,3.19
233747,2.19
584464,1.5
734866,1.29
453272,1.29
145859,2.19
169325,3.49
285901,1.34
801251,0.39
503286,0.8
346709,2.69
785200,0.99
325749,2.59
284649,1.99
136698,1.89
71993,2.49
330065,2.89
617659,0.79
83599,0.99
718796,0.74
754820,1.77
792163,1.19
259701,3.35
648226,0.45
187013,1.79
432704,2.39
275851,0.99
749001,1.77
35042,0.84
311632,2.89
804793,0.67
81956,0.99
197234,1.99
808636,0.88
507498,1.19
181817,0.75
176541,0.99
50887,1.79
42453,0.84
262355,2.69
173756,0.59
211763,3.1799999999999997
428608,3.98
576657,1.5
451600,1.98
84547,0.89
522429,0.59
70842,2.79
537028,2.14
314410,2.89
260429,3.59
17310,1.19
273320,0.99
734660,1.29
11987,0.69
19965,1.25
473562,1.99
191706,1.59
676667,0.69
634269,3.69
74999,2.49
255177,1.79
544007,0.99
209706,2.19
5640,2.0
104286,1.18
713313,0.67
623859,0.79
778017,0.95
588219,2.5
470885,1.99
677345,0.69
194392,1.29
79725,1.39
323379,2.69
28336,1.2
290216,1.99
653622,0.79
462738,3.38
674433,0.79
573649,1.5
619627,0.79
7261,2.0
801252,0.39
715176,1.9
120661,0.89
621823,0.79
336452,2.0
709589,1.19
338752,2.0
292214,2.19
563113,2.79
161507,3.19
65677,2.25
546524,2.5
297197,1.5
412227,0.5
161386,3.19
624064,0.79
284735,1.99
690179,2.0100000000000002
167729,2.59
588425,2.5
439559,2.45
763562,0.79
465912,1.69
158943,2.99
56055,2.84
723313,1.19
354151,2.45
84833,1.29
185527,0.97
60570,3.59
411361,1.5
706762,0.67
498039,1.99
510221,0.99
325692,2.59
516809,1.19
457364,0.86
198716,1.99
104834,0.04
358154,3.49
399207,2.19
544556,0.99
667261,1.59
694416,0.67
89593,1.29
397475,2.15
48724,0.99
188207,1.59
532960,0.99
315045,2.89
312453,2.89
314101,2.89
356056,3.49
507559,0.79
685189,2.55
10350,2.5
758773,0.67
66096,2.25
231786,0.7
138082,1.89
370305,3.09
561628,1.25
149074,2.19
246711,1.99
699058,1.25
525295,1.19
444514,0.64
588716,2.5
403154,2.5
453242,1.29
483293,1.89
446768,1.19
794539,0.99
592291,1.25
761320,0.67
332016,2.5
105438,0.59
29714,1.79
301520,1.99
204140,1.99
73630,2.45
81185,1.66
537602,2.79
223592,1.5
278777,1.99
105855,0.59
68825,2.25
176147,1.6
464289,0.79
9838,2.29
788138,0.89
34000,0.8
414686,1.5
802052,0.39
277759,2.19
639384,0.45
697370,1.25
485015,2.99
23485,1.19
614595,0.79
245552,1.99
773776,0.79
39546,0.84
795544,1.09
242570,0.99
468345,1.99
569782,1.5
522032,0.59
692726,0.67
508640,0.99
618579,0.79
400804,2.25
201373,1.19
434373,1.99
439281,2.45
681751,0.85
714688,2.37
673618,1.99
698721,0.99
63664,2.19
804460,0.99
532416,0.99
257494,1.34
101910,0.89
385661,2.5
22906,1.19
25066,0.75
652925,0.69
86179,1.29
212597,0.99
659109,0.67
22431,2.35
541672,0.8
348350,2.69
411113,1.99
470548,1.99
367778,2.99
51114,1.79
214914,1.5
652691,0.69
11308,2.09
248244,1.34
421543,2.29
209097,1.99
344210,3.65
139419,1.89
109494,0.59
222073,3.59
334809,2.0
689753,0.79
613667,1.89
21051,1.14
553946,1.5
515076,1.58
316363,2.89
12489,2.29
338817,2.5
341191,2.89
308092,2.99
246028,0.99
27563,1.89
637126,0.45
668084,0.99
463494,0.69
401404,2.19
26892,1.59
390663,1.79
26690,1.79
650609,0.79
465142,0.64
539691,1.69
97695,0.99
317724,2.99
690553,0.85
220043,1.44
342949,2.0
619636,0.79
522128,1.19
198278,0.99
657269,1.7
599517,1.25
300017,2.8
340424,2.0
556933,1.25
242673,0.99
323400,2.69
810040,1.19
654906,0.79
125702,0.99
687218,0.79
66890,1.5
71786,2.49
630899,3.49
246725,1.19
247213,0.99
524575,0.99
515530,1.19
708169,0.99
626839,0.79
578663,1.5
797662,1.09
491839,1.99
326203,2.0
387780,1.99
397135,2.19
573725,1.5
566923,1.5
666527,1.29
365404,1.99
58845,3.59
711851,0.89
754108,1.77
567521,1.79
553926,1.5
654571,0.79
172287,3.89
437171,2.55
256271,0.99
724066,0.88
515364,1.19
535761,2.79
199535,1.34
227319,1.99
779433,1.58
469667,1.99
609769,1.59
80237,1.29
790099,1.19
749962,1.77
320053,1.69
549098,3.45
398422,1.5
46579,1.25
777494,0.67
455137,0.99
728411,0.79
401127,1.5
769006,1.09
96544,0.99
132271,0.99
747913,0.74
582639,1.5
630100,0.79
106439,0.59
813901,2.38
685624,0.85
608120,1.09
419209,1.95
445520,0.99
358868,3.49
564377,1.39
787827,0.89
443451,1.29
686804,0.79
806284,0.99
240862,1.5
278283,1.99
456938,0.99
353480,1.69
67826,2.19
124611,1.19
270835,1.5
289123,1.99
614459,0.79
427135,1.67
643972,0.45
712912,0.89
303669,2.5
810804,1.29
663580,1.29
347900,2.59
323821,3.59
426909,1.49
399184,2.19
22179,2.35
445691,0.86
645443,0.9
188466,1.59
749452,1.77
133892,1.69
71301,2.79
686714,0.79
68979,2.25
725918,1.5
318789,2.19
234987,3.0
384854,2.19
129596,1.98
156338,2.39
591438,1.39
477951,1.89
288416,1.99
442896,3.59
196436,1.99
523454,0.8
762347,0.79
563076,2.79
788627,1.09
406833,1.95
783521,0.74
474685,2.25
268504,1.98
409708,2.99
212581,0.99
435037,2.69
67427,2.19
495868,1.19
675903,0.67
199827,2.19
205535,0.99
114854,0.99
365894,1.79
753327,1.99
46536,1.25
346649,2.69
344549,2.69
700998,0.99
361739,3.59
703057,0.79
176465,0.99
275736,0.99
656594,1.34
154430,1.19
255741,1.99
351157,1.99
19470,0.84
2920,2.0
124656,1.19
103500,0.99
725354,0.88
386736,2.98
649275,0.79
163605,3.19
305339,3.35
686393,0.79
268969,0.99
332287,2.69
490449,3.89
113502,0.89
264353,2.69
249972,0.99
608351,1.59
694246,0.85
59718,3.59
723230,0.75
428756,2.99
247223,2.9699999999999998
125795,2.18
592173,1.39
648058,0.9
180541,1.25
379706,1.99
242544,1.98
716485,0.79
237945,1.5
365311,1.99
284244,0.99
349295,3.19
54217,3.49
749754,1.77
107379,0.59
719213,0.99
420917,1.5
36069,0.84
678887,1.58
666575,1.29
441681,2.49
149421,2.19
456964,0.99
709987,0.88
411567,1.95
148965,2.19
711822,0.89
667775,1.59
192221,0.99
514693,1.19
665321,2.58
404661,1.99
297328,0.7
574694,1.5
331533,2.0
597769,1.5
103082,0.99
626518,0.79
419762,1.5
715722,0.88
586571,2.59
320998,3.19
406332,1.99
801079,0.99
715745,0.88
496618,1.44
146032,2.29
375870,2.55
598319,1.19
641259,0.45
273503,1.5
500937,3.25
179301,1.5
204901,0.99
325900,2.89
753840,1.77
490709,2.69
60805,2.19
488633,3.49
625164,1.15
625115,0.79
450949,1.19
654645,0.79
357147,3.49
221916,2.69
593560,1.59
631191,3.49
570274,2.25
781062,0.77
751505,1.69
300915,2.74
386950,2.98
490428,3.89
163705,3.19
604459,1.0
8679,2.0
594480,1.25
628420,0.79
331113,2.69
469197,1.19
453497,1.19
210522,0.99
395573,3.19
511098,1.19
307612,2.89
420479,1.99
493151,1.99
668731,1.99
63577,2.19
800838,0.79
417722,1.5
774400,0.99
611842,2.59
575672,1.79
83495,0.99
608013,1.09
742196,3.98
707055,0.67
505743,1.19
762408,0.79
782565,1.9
758812,0.67
475831,1.89
369955,2.99
392652,3.0
320455,3.39
665884,1.29
137253,1.89
245232,1.5
783743,0.99
339172,2.5
591934,1.79
585538,1.5
127634,1.79
574116,1.5
526786,0.99
192270,0.99
544958,1.19
696117,1.19
795165,0.88
594421,1.25
91305,0.99
745833,0.88
648984,0.79
5505,2.0
570134,1.5
585589,1.5
384130,2.49
729378,0.99
679264,0.67
574833,1.5
89469,0.99
262674,2.69
381181,1.5
391795,2.25
746320,0.75
53671,1.09
130493,1.99
544190,1.19
524084,0.99
440765,2.19
416377,1.99
336298,2.0
535799,2.79
516874,1.19
699224,1.39
686371,0.79
699796,0.99
809552,1.19
254201,1.99
446951,0.99
568994,1.5
160747,3.19
33247,1.25
204615,1.99
543773,0.99
226724,1.5
228360,0.99
618541,0.79
367426,1.59
790530,0.98
341169,2.89
539475,1.79
491626,0.99
739325,1.39
306671,2.89
744839,0.75
59030,3.49
272484,1.99
359427,3.49
801171,0.39
656948,0.67
471575,1.79
690464,1.09
791693,0.88
250049,0.99
609891,1.59
62662,2.19
718968,0.74
113387,0.89
180534,1.25
687553,0.67
119503,1.09
507661,0.79
213949,0.99
90062,0.83
657537,0.85
187002,1.65
548656,1.99
123987,1.09
91409,0.99
579662,3.0
220862,2.19
42588,0.84
204321,1.99
114743,1.09
286837,1.5
574186,1.5
589797,2.0
588566,2.0
803849,0.39
378488,1.5
433628,2.58
178103,0.8
580814,1.5
207388,2.19
756876,3.98
19309,0.84
444426,0.64
465894,1.69
42327,1.19
766870,0.69
6884,2.5
797326,0.99
483599,1.19
337486,2.0
57815,3.59
793361,0.99
804722,0.67
650562,1.58
604270,1.59
118003,1.09
790454,0.98
392804,1.5
134926,1.89
643879,0.45
581438,3.0
477832,1.89
313646,2.99
781282,0.99
82050,0.99
446926,0.99
801750,0.35
693826,0.85
786685,0.88
601974,1.09
544784,1.19
684803,0.85
8222,2.0
783208,0.99
171898,3.19
424428,2.49
435478,3.59
29299,1.2
323851,3.59
211412,1.99
370240,3.09
408525,2.25
191854,1.59
178874,1.25
249878,0.99
713479,0.67
598956,1.25
198722,1.99
124097,1.19
252732,2.19
177426,1.25
638131,0.9
2492,3.19
328667,2.89
645284,0.45
126519,1.79
452593,0.8
436295,2.19
496437,0.89
418506,1.99
389706,1.95
382779,2.49
243922,1.34
675725,0.65
797424,0.99
542982,0.79
707515,0.85
643379,0.9
245841,3.98
728721,0.99
560249,1.09
747400,0.75
722602,1.19
632661,3.49
144879,2.19
630841,3.49
387189,1.49
135357,1.89
252322,1.99
509700,1.19
26325,1.79
359962,2.39
55885,3.29
571395,1.19
446493,1.19
431050,2.49
71802,2.49
453696,0.99
549624,2.19
199004,1.5
160399,3.49
310459,2.89
23647,0.84
228570,1.99
66001,2.25
174894,0.84
776668,0.69
379149,1.99
249328,0.7
8214,2.0
422016,2.75
579514,1.5
84170,0.99
41323,2.4000000000000004
363655,3.09
16095,0.84
30668,0.99
402134,2.5
592727,1.25
376226,2.15
253741,0.7
809525,1.19
202799,0.99
543744,0.99
769797,0.67
515951,0.99
699656,0.99
293045,2.19
620971,0.79
187069,3.58
137276,1.89
439023,1.99
281845,1.99
389709,1.95
198016,0.99
8836,2.0
284175,0.99
78907,0.99
243127,1.5
633681,2.99
157067,2.65
740275,1.29
530029,0.8
74231,2.19
683115,0.67
358594,3.49
343673,2.0
426548,2.49
124156,0.0
676690,0.69
270631,1.5
816843,1.29
771765,0.85
384814,3.19
802634,0.39
215414,2.19
202350,2.9699999999999998
398911,2.15
789481,0.99
630371,0.99
107544,0.59
320599,3.19
594402,1.25
181561,0.75
313309,2.89
776591,0.69
215753,2.67
621501,0.79
255849,1.99
575133,1.79
774523,0.95
533632,1.55
27565,1.89
646808,0.45
767282,0.69
187568,1.59
203246,1.79
83168,0.99
795630,1.09
671815,1.69
84725,0.89
236443,1.99
487978,2.0
256731,3.0
401495,3.0
241450,0.99
610353,2.31
512386,0.99
574135,1.5
686924,0.79
771510,0.85
84697,0.89
683090,1.34
800763,0.79
501992,1.19
253941,1.99
733154,1.19
674049,0.79
635567,0.99
28203,1.79
677643,0.79
665442,1.29
170145,3.19
408834,2.19
140162,1.99
289927,1.99
434735,2.39
214461,2.19
442620,1.65
14296,1.5
814971,2.58
539546,1.79
102031,0.89
95276,0.83
738531,1.19
141821,2.19
588544,2.0
270623,1.5
766707,0.79
463902,0.53
75354,1.49
512898,1.19
557373,1.25
362205,2.99
341580,2.69
746624,0.79
710919,1.19
719909,1.19
284765,1.99
469222,3.57
207270,1.64
642049,0.65
779786,0.79
525518,0.59
758389,0.79
18543,0.84
12599,1.99
324748,2.0
455031,0.66
308808,2.99
367774,2.99
550498,1.98
807242,0.99
558464,0.99
423672,2.49
576249,1.79
667315,1.59
697559,1.25
160999,3.19
448181,0.8
7860,2.0
794775,0.88
809326,1.19
76619,1.99
111580,1.19
506418,0.99
430596,2.49
153193,2.15
44908,1.25
584716,1.5
691089,0.67
689193,0.79
418783,1.99
730123,0.49
470540,1.99
226327,2.19
221604,2.69
175699,0.84
24144,0.84
224164,1.99
498914,2.69
45952,2.38
206374,1.5
352353,1.89
561857,1.09
209372,1.33
387770,1.99
517631,0.99
670314,1.77
418377,2.19
73464,2.45
490092,2.69
804406,0.99
341355,2.0
140759,2.19
297511,3.98
664735,1.29
130627,1.99
763026,0.79
368829,2.99
444570,1.29
491785,1.99
758132,0.79
120765,1.09
492680,1.79
681401,2.18
150655,2.19
39187,1.25
124719,1.09
577433,1.5
533137,0.99
812387,1.19
26440,2.4
237615,0.99
350242,2.79
604551,1.0
662779,1.39
202283,1.98
482772,2.69
243565,2.19
415953,1.95
155089,1.19
186582,1.79
807295,0.99
5158,2.0
204447,1.99
495058,1.29
680203,1.34
416085,1.79
681160,1.7
814160,1.29
708311,0.99
549718,2.19
594555,1.25
58859,3.59
360745,2.29
494187,1.29
462159,0.84
599322,1.25
57368,2.99
299301,3.69
413723,1.99
400442,1.79
305476,3.79
41750,0.64
328726,2.89
423318,2.75
94158,0.89
743858,0.75
623155,0.79
194764,1.49
2424,2.95
523419,0.8
659171,2.68
624766,0.79
517284,0.99
5024,2.0
807127,0.99
788264,0.89
618349,1.58
662806,1.39
82979,0.99
697095,1.19
559490,2.0
86100,1.29
44910,0.84
606977,1.5
417283,2.15
440641,2.09
737516,3.5700000000000003
593506,1.59
117124,0.89
642933,0.45
88854,1.15
742174,1.59
646349,0.45
14545,0.5
13399,0.59
267276,0.99
397240,2.25
240070,2.9699999999999998
279992,2.69
655684,0.69
728873,0.74
345613,2.0
313129,2.09
375310,1.99
196775,0.99
528311,1.19
741335,1.29
32341,1.25
463306,1.59
341374,2.0
216448,2.2
653628,0.79
172862,0.79
781805,0.99
789602,0.99
290611,1.99
528161,0.99
768704,1.09
715671,0.88
596120,2.0
484466,1.85
789458,0.99
29516,1.79
171103,3.19
466075,1.13
150297,2.19
247031,0.99
201363,3.0
606215,1.49
26141,0.5
481544,0.89
128192,1.99
481647,0.79
419615,1.5
318420,2.99
597933,1.59
367951,2.99
239884,1.99
244955,2.9699999999999998
131455,1.59
815847,1.65
364856,1.99
743291,0.99
45456,0.8
443008,0.99
457539,0.64
802145,0.39
611222,2.5
247612,1.5
248738,0.99
275249,1.99
771951,0.89
50135,1.59
730899,1.19
318350,2.99
256295,0.99
596697,1.25
535244,0.99
640258,0.65
318198,2.99
34340,1.71
153980,1.29
343531,2.69
265224,2.69
704633,0.75
561061,1.19
804742,0.67
653362,0.79
736557,1.59
259863,2.69
450904,1.19
280352,2.69
651271,0.79
797200,0.99
756705,1.99
399844,1.99
412905,1.95
481760,0.79
217459,1.99
789715,1.09
350594,1.89
630372,1.15
142469,2.19
600078,0.99
74553,2.0
482577,2.69
192752,0.97
